word,definition,example
a,A metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation.,
a.m./A.M./am/AM,Before noon.,
abandon,The trait of lacking restraint or control; reckless freedom from inhibition or worry.,she danced with abandon
abandoned,"Forsake, leave behind.",We abandoned the old car in the empty parking lot
ability,The quality of being able to perform; a quality that permits or facilitates achievement or accomplishment.,This phone has the ability to have its software upgraded wirelessly.
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something.,able to swim
abnormal,Not normal; not typical or usual or regular or conforming to a norm.,abnormal powers of concentration
abnormally,In an abnormal manner.,they were behaving abnormally
aboard,"On a ship, train, plane or other vehicle.",We all climbed aboard.
abolish,Do away with.,Slavery was abolished in the mid-19th century in America and in Russia
aboriginal,A dark-skinned member of a race of people living in australia when europeans arrived.,
aborigine,An indigenous person who was born in a particular place.,the art of the natives of the northwest coast
about,On the move.,up and about
above,An earlier section of a written text.,for instructions refer to the above
abroad,In a foreign country.,markets abroad
abruptly,Quickly and without warning.,he stopped suddenly
absence,The state of being absent.,he was surprised by the absence of any explanation
absent,Go away or leave.,He absented himself
absentee,One that is absent or not in residence.,
absolute,Something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative.,no mortal being can influence the absolute
absolutely,Completely and without qualification; used informally as intensifiers.,an absolutely magnificent painting
absorb,Become imbued.,"The liquids, light, and gases absorb"
abstract,A concept or idea not associated with any specific instance.,he loved her only in the abstract--not in person
absurd,A situation in which life seems irrational and meaningless; --albert camus.,The absurd is the essential concept and the first truth
abundance,The property of a more than adequate quantity or supply.,an age of abundance
abundant,Present in great quantity.,an abundant supply of water
abuse,Cruel or inhumane treatment.,the child showed signs of physical abuse
academic,An educator who works at a college or university.,the academic sect or philosophy
academy,A secondary school (usually private).,the military academy at West Point; a riding academy; the Academy of Music.; a music academy; a language academy
accent,Distinctive manner of oral expression.,he couldn't suppress his contemptuous accent
accept,Consider or hold as true.,I cannot accept the dogma of this church
acceptable,Worthy of acceptance or satisfactory.,acceptable levels of radiation
acceptance,The mental attitude that something is believable and should be accepted as true.,he gave credence to the gossip
access,The right to enter.,an access of territory
accessibility,The quality of being at hand when needed.,
accessible,Capable of being reached.,a town accessible by rail
accessory,"Clothing that is worn or carried, but not part of your main clothing.",She was accessory to the riot.
accident,An unfortunate mishap; especially one causing damage or injury.,to die by an accident
accidental,A musical notation that makes a note sharp or flat or natural although that is not part of the key signature.,
accidentally,Without advance planning.,they met accidentally
accommodation,Making or becoming suitable; adjusting to circumstances.,
accompany,Be present or associated with an event or entity.,French fries come with the hamburger
accomplish,Put in effect.,carry out a task
according to,,
accordingly,(sentence connectors) because of the reason given.,"consequently, he didn't do it"
account,A record or narrative description of past events.,a history of France
accountant,Someone who maintains and audits business accounts.,
accumulate,Get or gather together.,I am accumulating evidence for the man's unfaithfulness to his wife
accuracy,The quality of being near to the true value.,he was beginning to doubt the accuracy of his compass
accurate,Conforming exactly or almost exactly to fact or to a standard or performing with total accuracy.,an accurate reproduction
accurately,With few mistakes.,he works very accurately
accusation,A formal charge of wrongdoing brought against a person; the act of imputing blame or guilt.,
accuse,Bring an accusation against; level a charge against.,The neighbors accused the man of spousal abuse
accustom,Make psychologically or physically used (to something).,She became habituated to the background music
ache,A dull persistent (usually moderately intense) pain.,
achievable,Capable of existing or taking place or proving true; possible to do.,
achieve,To gain with effort.,she achieved her goal despite setbacks
achievement,The action of accomplishing something.,Finishing the game does not give you a 100% score until you have unlocked all of the achievements.
acid,Any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt.,acid fruits or liquors
acknowledge,Declare to be true or admit the existence or reality or truth of.,He admitted his errors
acknowledgment/acknowledgement,The state or quality of being recognized or acknowledged.,the partners were delighted with the recognition of their work
acquaintance,Personal knowledge or information about someone or something.,I know of the man; but have no acquaintance with him.
acquire,Come into the possession of something concrete or abstract.,She got a lot of paintings from her uncle
acquisition,The act of contracting or assuming or acquiring possession of something.,the acquisition of wealth
across,To the opposite side.,the football field was 300 feet across
act,A legal document codifying the result of deliberations of a committee or society or legislative body.,an act of goodwill
action,Something done (usually as opposed to something said).,there were stories of murders and other unnatural actions
active,Chemical agent capable of activity.,certain active principles
actively,In an active manner.,he participated actively in the war
activity,Any specific behavior.,they avoided all recreational activity
actor,A theatrical performer.,
actress,A female actor.,
actual,Presently existing in fact and not merely potential or possible.,the predicted temperature and the actual temperature were markedly different
actually,In actual fact.,to be nominally but not actually independent
acute,A mark (') placed above a vowel to indicate pronunciation.,The word ‘cafe’ often has an acute over the ‘e’.
ad,A public promotion of some product or service.,I have placed both of the ads in the newspaper as instructed.
adapt,"Make fit for, or change to suit a new purpose.",Adapt our native cuisine to the available food resources of the new country
adaptable,Capable of adapting (of becoming or being made suitable) to a particular situation or use.,to succeed one must be adaptable
add,A condition (mostly in boys) characterized by behavioral and learning disorders.,"When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with."
addict,Someone who is so ardently devoted to something that it resembles an addiction.,a golf addict
addicted,"To cause (someone or oneself) to become dependent (on something, especially a narcotic drug).",
addiction,Being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs).,
addition,A component that is added to something to improve it.,the addition of a bathroom was a major improvement
additional,Further or added.,called for additional troops
additionally,"In addition, by way of addition; furthermore.",he serves additionally as the CEO
address,(computer science) the code that identifies where a piece of information is stored.,"He addressed some portions of his remarks to his supporters, some to his opponents."
addressee,One to whom something is addressed.,
adequate,Having the requisite qualities or resources to meet a task.,she had adequate training
adequately,In an adequate manner or to an adequate degree.,he was adequately prepared
adjective,A word that expresses an attribute of something.,The words “big” and “heavy” are English adjectives.
adjust,Alter or regulate so as to achieve accuracy or conform to a standard.,"Adjust the clock, please"
adjustment,Making or becoming suitable; adjusting to circumstances.,The credit card company made an adjustment to my account to waive the late fee.
administration,A method of tending to or managing the affairs of a some group of people (especially the group's business affairs).,Successive US administrations have had similar Middle East policies.
administrative,Of or relating to or responsible for administration.,
admirable,Deserving of the highest esteem or admiration.,an estimable young professor
admiration,A feeling of delighted approval and liking.,They looked at the landscape in admiration.
admire,Feel admiration for.,He had always admired the work ethos and family values of his friend.
admiringly,With admiration.,he looked at his wife admiringly
admission,The act of admitting someone to enter.,the surgery was performed on his second admission to the clinic
admit,Declare to be true or admit the existence or reality or truth of.,He admitted his errors
admittedly,As acknowledged.,"true, she is the smartest in her class"
adopt,"Choose and follow; as of theories, ideas, policies, strategies or plans.",She followed the feminist movement
adopted,"Choose and follow; as of theories, ideas, policies, strategies or plans.",She followed the feminist movement
adoption,The act of accepting with approval; favorable reception.,its adoption by society
adorable,Lovable especially in a childlike or naive way.,
adore,Love intensely.,he just adored his wife
adorn,"Make more attractive by adding ornament, colour, etc.",Decorate the room for the party
adult,A fully developed person from maturity onward.,"an adult human, animal, or plant"
advance,A movement forward.,he listened for the progress of the troops
advanced,"Move forward, also in the metaphorical sense.",Time marches on
advancement,Encouragement of the progress or growth or acceptance of something.,the advancement of learning
advantage,The quality of having a superior or more favorable position.,the experience gave him the advantage over me
advent,Arrival that has been awaited (especially of something momentous).,the advent of the computer
adventure,A wild and exciting undertaking (not necessarily lawful).,A life full of adventures.
adventurous,Willing to undertake or seeking out new and daring enterprises.,adventurous pioneers
adverb,The word class that qualifies verbs or clauses.,I often went outside hiking during my stay in Japan.
adverbial,A word or group of words function as an adverb.,
adverse,Contrary to your interests or welfare.,adverse circumstances
adversely,In an adverse manner.,she was adversely affected by the new regulations
adversity,A state of misfortune or affliction.,debt-ridden farmers struggling with adversity
advert,A public promotion of some product or service.,
advertise,Call attention to.,Please don't advertise the fact that he has AIDS
advertisement,A public promotion of some product or service.,"Companies try to sell their products using advertisements in form of placards, television spots and print publications."
advertising,A public promotion of some product or service.,"For personal needs, advertise on the internet or in a local newspaper."
advice,A proposal for an appropriate course of action.,She was offered various piece of advice on what to do with her new-found wealth.
advise,Give advice to.,The teacher counsels troubled students
adviser/advisor,An expert who gives advice.,an adviser helped students select their courses
aerobics,Exercise that increases the need for oxygen.,
affair,A vaguely specified concern.,several matters to attend to
affect,The conscious subjective aspect of feeling or emotion.,The experience affected me deeply.
affection,A positive feeling of liking.,he had trouble expressing the affection he felt
affectionate,Having or displaying warmth or affection.,affectionate children
affectionately,With affection.,she loved him dearly
afford,Be able to spare or give up.,I can't afford to spend two hours with this person
affordable,That you have the financial means for.,low-cost housing
afraid,Filled with fear or apprehension.,afraid even to turn his head
after,Located farther aft.,The after gun is abaft the forward gun.
afternoon,The part of the day between noon and evening.,he spent a quiet afternoon in the park
afterward,Happening at a time subsequent to a reference time.,he apologized subsequently
